id,name,taxonomy,family,object_type,width_m,depth_m,height_m,loc_x,loc_y,loc_z,rot_z_rad,brightness,alpha_coverage_ratio,primitive,analysis_image
edge_condition_09926,Edge Condition #1,edge_condition,threshold wall,wall_panel,2.68,1.2,1.72,0.0,0.0,0.86,-0.0524,136.30755433384775,0.8786607831790123,ribbed_wall,output/final_results/edge_condition_09926_D_analysis.jpg
edge_condition_09912,Edge Condition #2,edge_condition,threshold wall,wall_panel,2.68,1.2,1.72,3.58,0.0,0.86,0.0524,136.49502748842593,0.8753655478395062,ribbed_wall,output/final_results/edge_condition_09912_D_analysis.jpg
edge_condition_09870,Edge Condition #3,edge_condition,threshold wall,wall_panel,2.68,1.2,1.72,7.16,0.0,0.86,0.1571,135.47250241126542,0.8605203510802469,ribbed_wall,output/final_results/edge_condition_09870_D_analysis.jpg
edge_condition_09856,Edge Condition #4,edge_condition,threshold wall,wall_panel,1.84,1.2,1.72,10.74,0.0,0.86,-0.1571,135.28672511163646,0.7902313407632556,ribbed_wall,output/final_results/edge_condition_09856_D_analysis.jpg
edge_condition_09240,Edge Condition #5,edge_condition,threshold wall,wall_panel,1.8,1.2,1.72,13.48,0.0,0.86,-0.0524,51.89335081986011,0.7105449489737415,ribbed_wall,output/final_results/edge_condition_09240_D_analysis.jpg
edge_condition_09282,Edge Condition #6,edge_condition,threshold wall,wall_panel,1.78,1.2,1.72,16.18,0.0,0.86,0.0524,50.20105523168692,0.6909879926912034,ribbed_wall,output/final_results/edge_condition_09282_D_analysis.jpg
edge_condition_09226,Edge Condition #7,edge_condition,threshold wall,wall_panel,1.78,1.2,1.7,0.0,4.8,0.85,0.1571,48.404901526559776,0.6904626922963356,ribbed_wall,output/final_results/edge_condition_09226_D_analysis.jpg
edge_condition_09324,Edge Condition #8,edge_condition,threshold wall,wall_panel,1.78,1.2,1.72,2.68,4.8,0.86,-0.1571,50.43290761513908,0.6728127678978568,ribbed_wall,output/final_results/edge_condition_09324_D_analysis.jpg
playable_surface_10934,Playable Surface #1,playable_surface,ground field,ground_tile,1.6,1.2,1.2,5.36,4.8,0.6,-0.0524,55.491221585867734,0.5994730577907084,marker_field,output/final_results/playable_surface_10934_D_analysis.jpg
playable_surface_11144,Playable Surface #2,playable_surface,ground field,ground_tile,1.6,1.05,1.2,7.86,4.8,0.6,0.0524,70.781074241433,0.4729525157089171,marker_field,output/final_results/playable_surface_11144_D_analysis.jpg
playable_surface_10864,Playable Surface #3,playable_surface,ground field,ground_tile,1.6,1.0,1.21,10.36,4.8,0.605,0.1571,76.64627464904986,0.4474688295224835,marker_field,output/final_results/playable_surface_10864_D_analysis.jpg
