record_id,taxonomy_label,pc1,pc2
edge_condition_07084,edge_condition,-0.024092928,0.03393926
edge_condition_07154,edge_condition,0.023474151,-0.23145755
sloped_platform_07154,sloped_platform,0.02347415,-0.23145765
edge_condition_07168,edge_condition,0.023474148,-0.23145753
playable_surface_07168,playable_surface,0.023474148,-0.23145753
sloped_platform_07168,sloped_platform,0.023474148,-0.23145753
edge_condition_07182,edge_condition,-0.024394687,0.072616614
playable_surface_07182,playable_surface,-0.024394687,0.072616614
sloped_platform_07350,sloped_platform,-0.104812376,-0.017639568
sloped_platform_07364,sloped_platform,-0.12112745,-0.017907532
edge_condition_08778,edge_condition,-0.039720196,-0.1256233
edge_condition_09044,edge_condition,0.09705188,0.37833312
sloped_platform_09044,sloped_platform,0.09705188,0.37833312
edge_condition_09058,edge_condition,0.09705188,0.37833312
edge_condition_09072,edge_condition,0.08607301,0.3839097
edge_condition_09086,edge_condition,0.08607301,0.3839097
edge_condition_09100,edge_condition,0.08311702,0.39557037
edge_condition_09114,edge_condition,0.08311702,0.39557037
edge_condition_09128,edge_condition,0.07995903,0.39041516
edge_condition_09142,edge_condition,0.07995903,0.39041516
edge_condition_09156,edge_condition,0.11903696,0.40803424
edge_condition_09170,edge_condition,0.11903696,0.40803424
edge_condition_09184,edge_condition,0.35767087,0.004025819
edge_condition_09198,edge_condition,0.35767087,0.004025819
playable_surface_09212,playable_surface,0.39235982,0.025597645
edge_condition_09226,edge_condition,0.39235982,0.025597645
edge_condition_09240,edge_condition,0.36278728,0.050500907
playable_surface_09240,playable_surface,0.36278728,0.050500907
edge_condition_09268,edge_condition,0.33915868,0.05563737
edge_condition_09282,edge_condition,0.33915868,0.05563737
edge_condition_09296,edge_condition,0.34583414,0.0036254616
edge_condition_09310,edge_condition,0.34583414,0.0036254616
edge_condition_09324,edge_condition,0.34672844,0.0013118167
sloped_platform_09324,sloped_platform,0.34672844,0.0013118167
edge_condition_09338,edge_condition,0.34672844,0.0013118167
sloped_platform_09338,sloped_platform,0.34672844,0.0013118167
edge_condition_09352,edge_condition,0.34672844,0.0013118167
sloped_platform_09352,sloped_platform,0.34672844,0.0013118167
sloped_platform_09492,sloped_platform,-0.052712005,-0.02671576
sloped_platform_09562,sloped_platform,0.17613386,0.072324984
sloped_platform_09702,sloped_platform,-0.09082536,-0.04046328
sloped_platform_09716,sloped_platform,-0.09082536,-0.04046328
sloped_platform_09730,sloped_platform,-0.06716164,-0.0013403649
sloped_platform_09744,sloped_platform,-0.06716164,-0.0013403649
sloped_platform_09758,sloped_platform,-0.06716164,-0.0013403649
sloped_platform_09772,sloped_platform,-0.10406969,-0.012179428
sloped_platform_09786,sloped_platform,-0.10406969,-0.012179428
sloped_platform_09800,sloped_platform,-0.15545793,-0.0065246187
sloped_platform_09814,sloped_platform,-0.15545793,-0.0065246187
sloped_platform_09828,sloped_platform,-0.10584601,-0.07683056
sloped_platform_09842,sloped_platform,-0.10584601,-0.07683056
edge_condition_09856,edge_condition,0.28186882,-0.12316336
edge_condition_09870,edge_condition,0.28186882,-0.12316336
edge_condition_09884,edge_condition,0.23254092,-0.19451383
edge_condition_09898,edge_condition,0.23254092,-0.19451383
edge_condition_09912,edge_condition,0.23584989,-0.12628841
edge_condition_09926,edge_condition,0.23584989,-0.12628841
sloped_platform_09954,sloped_platform,0.081731744,-0.1426952
sloped_platform_10094,sloped_platform,0.031933464,-0.1020695
sloped_platform_10108,sloped_platform,0.096317574,-0.056220118
edge_condition_10122,edge_condition,0.096317574,-0.056220118
sloped_platform_10122,sloped_platform,0.096317574,-0.056220118
sloped_platform_10136,sloped_platform,-0.0014138735,-0.10865893
sloped_platform_10164,sloped_platform,-0.0014138735,-0.10865893
sloped_platform_10178,sloped_platform,0.0572141,-0.14158936
sloped_platform_10220,sloped_platform,0.012732961,-0.19390906
sloped_platform_10234,sloped_platform,0.0011743451,-0.15577492
playable_surface_10388,playable_surface,0.1573358,0.08512585
playable_surface_10430,playable_surface,0.13486572,-0.052756105
sloped_platform_10430,sloped_platform,0.13486572,-0.052756105
edge_condition_10444,edge_condition,0.13486572,-0.052756105
sloped_platform_10472,sloped_platform,0.14183697,-0.087714165
sloped_platform_10486,sloped_platform,0.016317818,0.038143538
edge_condition_10696,edge_condition,0.060840383,-0.016037764
edge_condition_10710,edge_condition,0.060840383,-0.016037764
edge_condition_10724,edge_condition,0.031051353,-0.007918095
edge_condition_10738,edge_condition,0.031051353,-0.007918095
edge_condition_10752,edge_condition,0.19392483,-0.04141703
playable_surface_10864,playable_surface,0.14617683,-0.041369263
playable_surface_10892,playable_surface,0.15012315,-0.034433953
playable_surface_10906,playable_surface,0.15012315,-0.034433953
playable_surface_10934,playable_surface,0.14589952,-0.13954265
playable_surface_11074,playable_surface,-0.044996206,-0.032316368
playable_surface_11102,playable_surface,-0.05961576,-0.035727993
playable_surface_11144,playable_surface,-0.05747661,-0.057469446
playable_surface_11158,playable_surface,0.20629992,-0.028048037
sloped_platform_11802,sloped_platform,-0.09298734,-0.26824182
sloped_platform_11830,sloped_platform,-0.074485295,-0.31157836
sloped_platform_11844,sloped_platform,-0.074485295,-0.31157836
sloped_platform_11858,sloped_platform,-0.0662336,-0.31883252
sloped_platform_11872,sloped_platform,-0.0662336,-0.31883252
sloped_platform_11886,sloped_platform,-0.05404425,-0.33847484
sloped_platform_11900,sloped_platform,-0.05404425,-0.33847484
sloped_platform_11956,sloped_platform,-0.066430055,-0.32504934
sloped_platform_11970,sloped_platform,-0.07434119,-0.28379986
sloped_platform_12012,sloped_platform,-0.056634445,-0.31670868
sloped_platform_12026,sloped_platform,-0.018063597,-0.34611753
sloped_platform_12040,sloped_platform,-0.018063597,-0.34611753
sloped_platform_12082,sloped_platform,-0.09759832,-0.3529649
sloped_platform_12096,sloped_platform,-0.09759832,-0.3529649
edge_condition_12698,edge_condition,0.17528808,0.1310653
sloped_platform_12810,sloped_platform,0.04378333,0.031081013
playable_surface_12838,playable_surface,-0.046717316,-0.008452927
sloped_platform_12838,sloped_platform,-0.046717316,-0.008452927
sloped_platform_12894,sloped_platform,-0.009789695,0.0089694075
edge_condition_12992,edge_condition,0.0058394,0.18883443
edge_condition_13006,edge_condition,0.0058394,0.18883443
edge_condition_13034,edge_condition,0.12097462,0.0504192
edge_condition_13048,edge_condition,0.02546113,0.22556593
sloped_platform_13048,sloped_platform,0.02546113,0.22556593
edge_condition_13062,edge_condition,0.02546113,0.22556593
edge_condition_13076,edge_condition,-0.04991715,0.021753285
sloped_platform_13160,sloped_platform,0.10028505,0.06079035
sloped_platform_13188,sloped_platform,0.087989904,0.12447675
sloped_platform_13314,sloped_platform,0.087642014,0.21713382
